lr-SGD/pg1,lr-SGD/pg2,step,val_loss,val_acc,epoch,scale0,scale1,scale2,scale3,l1_reg,scale_reg,loss,train_acc
0.0001,0.001,5180,,,,,,,,,,,
,,5253,0.053964439779520035,0.940397322177887,70,,,,,,,,
,,5253,,,70,1.9121921062469482,0.4170495867729187,2.039816379547119,1.061761498451233,0.0,1.3828188180923462,0.0374218113720417,0.9459459185600281
0.0001,0.001,5254,,,,,,,,,,,
,,5327,0.05793371424078941,0.9470198750495911,71,,,,,,,,
,,5327,,,71,1.9067749977111816,0.41298723220825195,2.0340867042541504,1.0724048614501953,0.0,1.3808600902557373,0.022177929058670998,0.9695945978164673
0.0001,0.001,5328,,,,,,,,,,,
,,5401,0.054859358817338943,0.9271523356437683,72,,,,,,,,
,,5401,,,72,1.9091503620147705,0.4083406627178192,2.0364551544189453,1.0805093050003052,0.0,1.3817195892333984,0.04857850819826126,0.9256756901741028
0.0001,0.001,5402,,,,,,,,,,,
,,5475,0.05763961002230644,0.940397322177887,73,,,,,,,,
,,5475,,,73,1.8996031284332275,0.40123051404953003,2.0238866806030273,1.1153384447097778,0.0,1.378258228302002,0.049164779484272,0.9256756901741028
0.0001,0.001,5476,,,,,,,,,,,
,,5549,0.061780691146850586,0.940397322177887,74,,,,,,,,
,,5549,,,74,1.889138102531433,0.4018094837665558,2.015181303024292,1.1212749481201172,0.0,1.37445867061615,0.0318751223385334,0.9493243098258972
0.0001,0.001,5550,,,,,,,,,,,
,,5623,0.06561824679374695,0.9072847962379456,75,,,,,,,,
,,5623,,,75,1.8682230710983276,0.399997740983963,1.9937427043914795,1.139166235923767,0.0,1.3668252229690552,0.03946328163146973,0.9493243098258972
0.0001,0.001,5624,,,,,,,,,,,
,,5697,0.05721922591328621,0.9470198750495911,76,,,,,,,,
,,5697,,,76,1.8511816263198853,0.3996986746788025,1.9774497747421265,1.1490004062652588,0.0,1.3605810403823853,0.0444808229804039,0.9493243098258972
0.0001,0.001,5698,,,,,,,,,,,
,,5771,0.05748392641544342,0.940397322177887,77,,,,,,,,
,,5771,,,77,1.849836826324463,0.39912882447242737,1.9787770509719849,1.1446747779846191,0.0,1.3600867986679077,0.03873973339796066,0.9459459185600281
0.0001,0.001,5772,,,,,,,,,,,
,,5845,0.05990426242351532,0.9470198750495911,78,,,,,,,,
,,5845,,,78,1.8505198955535889,0.3962883949279785,1.9789785146713257,1.152340292930603,0.0,1.360337734222412,0.05227106064558029,0.9155405163764954
0.0001,0.001,5846,,,,,,,,,,,
,,5919,0.05092712864279747,0.9337748289108276,79,,,,,,,,
,,5919,,,79,1.8410229682922363,0.40009528398513794,1.972243070602417,1.1404579877853394,0.0,1.3568425178527832,0.027077967301011086,0.9662162065505981
0.0001,0.001,5920,,,,,,,,,,,
,,5993,0.05391139164566994,0.9536423683166504,80,,,,,,,,
,,5993,,,80,1.8373342752456665,0.40602049231529236,1.9748914241790771,1.119619607925415,0.0,1.355482816696167,0.03785562142729759,0.9493243098258972
0.0001,0.001,5994,,,,,,,,,,,
,,6067,0.052202608436346054,0.940397322177887,81,,,,,,,,
,,6067,,,81,1.8561395406723022,0.3976570963859558,1.9926215410232544,1.144386887550354,0.0,1.3623977899551392,0.0481845885515213,0.9222972989082336
0.0001,0.001,6068,,,,,,,,,,,
,,6141,0.05304104834794998,0.9337748289108276,82,,,,,,,,
,,6141,,,82,1.8634674549102783,0.39878156781196594,2.003324508666992,1.134982943534851,0.0,1.3650884628295898,0.030254991725087166,0.9594594836235046
0.0001,0.001,6142,,,,,,,,,,,
,,6215,0.05897584557533264,0.9139072895050049,83,,,,,,,,
,,6215,,,83,1.8651151657104492,0.3987271785736084,2.007584810256958,1.1306124925613403,0.0,1.3656917810440063,0.02351083606481552,0.9594594836235046
0.0001,0.001,6216,,,,,,,,,,,
,,6289,0.05551749840378761,0.9271523356437683,84,,,,,,,,
,,6289,,,84,1.8734447956085205,0.3912450969219208,2.0139904022216797,1.1502922773361206,0.0,1.3687362670898438,0.055025797337293625,0.9155405163764954
0.0001,0.001,6290,,,,,,,,,,,
,,6363,0.05615173652768135,0.9271523356437683,85,,,,,,,,
